input,retrieval_context,expected_output
"""I'd like to speak to a human."" ""Can you connect me to a real person?"" ""Put me through to an agent, please.""","It hands off to a person immediately (no confirmation needed), stops handling it itself, and a support request is created — in both languages.",
"""Can you charter a private jet for me?"" ""I'd like to rent a yacht for the weekend."" ""Send flowers with a handwritten card to my wife.""",Each is handed to a person; the assistant does not attempt to fulfil it — in both languages.,
"""Can you help me buy flowers for my wife?"" ""I need someone to pick up a birthday cake for me."" ""Can you arrange a gift delivery to a friend?""",The assistant states it will connect you to a person and the conversation transfers to support (the bot thread closes) — in both languages.,
"""Please change the name on my issued ticket."" ""There's a typo in the passenger name — fix it."" ""I need to correct the surname on my flight ticket.""",The assistant declines to make the name change itself and hands off to a person (security rule) — in both languages.,
"""I need to book 12 rooms for a group."" ""Can you arrange 15 hotel rooms for our company trip?"" ""We're 30 people — I need about 14 rooms.""",Handed to a person (group bookings can't be done automatically) — in both languages.,
"""wgfe2834we23823"" -> ""yes, transfer me"" ""asdkj qwe ??? zz"" -> ""ok, speak to someone"" ""?????"" (repeated) -> ""human please""","After it can't understand, it offers to transfer to a person and, on 'yes', transfers. If it keeps failing to understand it offers a hand-off rather than looping — in both languages.",
"""I want to cancel my membership and leave."" ""How do I close my account for good?"" ""I'm done with this service — cancel everything.""",Handed to a person (it doesn't action it automatically) — in both languages.,
"""Is it safe to travel to [conflict area] right now?"" ""Should I avoid [place] because of the unrest?"" ""Will I be okay travelling there given the current situation?""",The assistant doesn't give a safety verdict and hands off to a person — in both languages.,
"mid hotel search: ""actually, can a person help me with this?"" after seeing options: ""this is complicated, connect me to an agent"" during a transfer booking: ""I'd rather sort this with a human""",Pass if the in-app instant-message (chat) channel opens and the conversation carries into Zendesk with the context preserved. In-app instant message is the only AI/support channel this phase (email and WhatsApp are not offered). Check in both languages.,
"""Plan a trip: London -> Tokyo -> Sydney -> London."" ""I need flights across 5 cities in two weeks."" ""Book a multi-city route with 4 stops.""",Handed to a person (too complex to automate).,
"""I need wheelchair assistance on my flight."" ""Can you book a flight for my child travelling alone?"" ""I want to use my air miles to upgrade.""",Each is handed to a person; the assistant doesn't attempt it.,
"""I need two connecting rooms."" ""Can I check in at 8am this morning?"" ""I have a severe nut allergy — can the room be guaranteed nut-free?""",Each is handed to a person; the assistant doesn't promise the special request itself — in both languages.,
"""I need a baby seat in the car."" ""Can the driver hold a name sign at arrivals?"" ""We have extra bags — can we get a larger vehicle?""",Each is handed to a person — in both languages.,
"""Book me a table at a restaurant in town tonight."" ""Can you arrange a curated fine-dining experience?"" ""I need a dinner reservation that requires a deposit.""",A restaurant booking outside airport dining (and special dining requests) is handed off to a human concierge — the assistant doesn't book it itself or invent a result. Check in both languages.,
"""Book me a spa day."" ""I'd like a massage and wellness treatment."" ""Can you arrange a spa package at my hotel?""","Spa/wellness is outside automatable scope and is handed off to a human concierge — not invented, not silently dropped. Check in both languages.",
"""I want to rent a car for a week."" ""Can you get me tickets to a football match?"" ""I need travel insurance for my trip.""",Car rental and event tickets are handed off to a human concierge (a concierge may arrange them); travel insurance is declined as not offered. Nothing is invented; check each example against its intended outcome. Check in both languages.,
