input,retrieval_context,expected_output
An email you can actually open; a password 12–16 characters long; your name; the 6-digit code that gets emailed to you.,"Your account is created, you're signed straight in, and you land on the home screen. You can sign in again later with the same details.",
"Try these one at a time: a wrongly-typed email (no @, odd ending); not ticking the agree box; a code that's too short or wrong; not getting a code and tapping Resend; tapping Resend again within a minute; letting the code expire (after 5 minutes); a password that's the wrong length or format; a confirm password that doesn't match; an odd name; an email that's already registered.",Each shows a clear message and won't let you go on. The continue button stays greyed out until things are right. Resend restarts the 60-second timer. An expired code is refused. An already-used email is flagged so you can't sign up twice.,
A valid phone number for the chosen country; the 6-digit code sent by text; your name.,"Your account is created, you're signed in, and you land on the home screen.",
"A number that's too short/too long or has letters/symbols/spaces; a country code that doesn't match the number; a code that's the wrong length, wrong, or expired; an empty/too-long name or one with symbols/numbers; not ticking the agree box.",A wrong number stops you getting a code or continuing; a mismatched country code is flagged; a wrong/expired code is refused; a bad name is refused; not agreeing blocks you.,
Your registered email and password; the 6-digit code emailed to you.,You're signed in and land on the home screen.,
An empty/wrong/unregistered email; an empty/wrong password; a wrong or expired code; and trying wrong passwords/codes several times quickly.,A bad email stops you getting a code; a wrong password won't move you to the code step; a wrong/expired code won't sign you in; after about 10 failed tries the account is temporarily locked or limited.,
An empty/wrong-length number or one with letters/symbols; an empty/wrong/expired code; asking for codes repeatedly; wrong codes repeatedly.,A bad number stops you getting a code; a wrong/expired code won't sign you in; asking too often or failing repeatedly triggers a safety limit or lock.,
"Your registered email; the emailed code; a new password that meets the rules, entered twice the same.",Your password is reset and you can sign in with the new one.,
"An empty/wrong/unregistered email; a wrong/expired/empty code; two passwords that don't match, or one that's empty/wrong length/all numbers/all letters/has odd characters; asking for codes repeatedly.",A bad email won't get you a code; a bad code won't reach the new-password step; bad or mismatched passwords are refused; asking too often is limited.,
A membership code/link; then an invalid or expired one.,"Membership switches on, your benefits show, and the right partner branding appears. An invalid/expired code is refused with a clear reason and you can try again.",
"Examples — use one (vary across testers); fill all required fields:
1) London (LHR) → Singapore (SIN) · 12 Mar 2027 · 1 adult · Economy
2) São Paulo (GRU) → Lisbon (LIS) · 5 Apr 2027 · 2 adults · Economy
3) London (LHR) → New York (JFK) · 20 Jun 2027 · 1 adult · Business","Results return with key fields (times, stops, price, cabin) and you can proceed toward checkout. Re-test when the new supplier is integrated.",
"Examples — phrase in your own words (vary across testers):
1) 'Direct flight London to Singapore on 12 March 2027, 1 adult, business class.'
2) 'Return flights São Paulo to Lisbon, 5–19 April 2027, 2 adults.'
3) 'Cheapest flight from London to New York on 20 June 2027.'",The assistant understands the free-text request and returns flight options — equivalent to the form route.,
Order summary; passenger/contact details; agreement; card-field formats.,Summary correct; agreement unticked disables Pay; card-field errors flagged. No charge.,
Valid expense card.,Success only after the payment is confirmed; ticket issued. Joins the payment rota when ready.,
—,Order shows with correct details and status; ticket/itinerary available; confirmation surfaced.,
Cancel within policy; change a flexible booking; attempt a change outside policy.,Allowed changes/cancellations are recorded; refunds per policy (may be manual); disallowed actions are blocked or handed off.,
"Examples — use one (vary across testers); fill all required fields:
1) Singapore · 3–6 Oct 2026 · 2 adults · 1 room
2) London · 12–14 Nov 2026 · 1 adult · 1 room
3) Lisbon · 20–23 Dec 2026 · 2 adults + 1 child aged 7 · 1 room","Results return (map and list views) and you can carry on to the payment screen. Wording reflects a search result, not a booking. Doing this first shows you which details a complete request needs.",
"Examples — phrase in your own words (vary across testers):
1) 'A hotel in Singapore from 3–6 October 2026, 2 adults, 1 room.'
2) 'Find me a London hotel for 12–14 November 2026 for one person.'
3) 'A family room in Lisbon, 20–23 December 2026, 2 adults and a child aged 7.'","The assistant understands the free-text request and returns matching results (or shows the pre-filled form to confirm) - equivalent to the form route. Wording reflects a search result, not a booking. (Missing-detail and odd-input handling is covered in the separate AI tests.)",
Leave the destination empty; type a place that doesn't exist; use symbols; a very long entry; just spaces.,"You get a clear message that the destination is missing or invalid, and Find Hotels won't work until it's fixed.",
No dates; a past check-in; check-out before check-in; same-day check-in and check-out (zero nights); a stay longer than allowed; a date too far in the future.,"Each invalid case is rejected with a clear message and Search stays disabled — a past check-in, check-out on or before check-in (zero nights), an over-long stay, and a too-far-future date. (If a rule isn't in the product yet, note it rather than failing.)",
An empty/very long name or one with symbols; a wrong phone number; a wrong email; no city chosen.,Each bad field shows its own message and you can't continue until it's fixed.,
The map won't load; prices won't load; room types won't load.,"The map shows 'Map failed to load, please try again later'; the price area offers a refresh to try again; no rooms shows a 'no rooms' message; a failure shows an error.",
"Check the summary and price; try leaving the agree box unticked; enter card details with mistakes (wrong name, too few digits, bad expiry, bad security code).",The summary is correct; with the agree box unticked the Pay button is greyed out; each card mistake shows a message. Nothing is charged.,
A declined card; not enough funds; the connection timing out; the order failing to be created.,"You get a clear failure message, no order is created, and you can try again. (No charge should complete — use only an approved failure card or lead/QA setup.)",
The expense card.,It only shows success once the payment truly goes through. (This uses one of your two paid modules.),
—,"The order shows with the right details and status, and you get a confirmation. (Phone pop-up alerts aren't checked here — we're on the website only.)",
